,OP134_C1_20230609-150121.spc
866,17928.685546875
867,17852.787109375
868,17755.87890625
869,17653.62890625
870,17558.931640625
871,17478.998046875
872,17413.763671875
873,17357.666015625
874,17304.669921875
875,17252.81640625
876,17203.654296875
877,17156.451171875
878,17102.51953125
879,17026.41015625
880,16914.697265625
881,16765.95703125
882,16593.32421875
883,16417.072265625
884,16252.9853515625
885,16105.7080078125
886,15971.451171875
887,15846.150390625
888,15731.1865234375
889,15631.8876953125
890,15551.3876953125
891,15486.462890625
892,15430.0478515625
893,15378.7587890625
894,15339.1630859375
895,15327.0
896,15358.6845703125
897,15440.24609375
898,15561.0947265625
899,15697.6162109375
900,15825.291015625
901,15932.3046875
902,16025.505859375
903,16124.2119140625
904,16245.4375
905,16391.2265625
906,16547.74609375
907,16697.45703125
908,16834.583984375
909,16971.2109375
910,17128.15234375
911,17318.087890625
912,17534.783203125
913,17757.61328125
914,17967.037109375
915,18158.04296875
916,18340.82421875
917,18529.9921875
918,18732.880859375
919,18946.64453125
920,19164.177734375
921,19380.765625
922,19594.173828125
923,19798.96875
924,19982.45703125
925,20127.74609375
926,20222.076171875
927,20262.708984375
928,20254.96875
929,20204.255859375
930,20109.376953125
931,19962.767578125
932,19756.822265625
933,19490.455078125
934,19170.912109375
935,18810.841796875
936,18424.5
937,18026.328125
938,17631.515625
939,17255.89453125
940,16913.46484375
941,16612.833984375
942,16355.125
943,16134.82421875
944,15942.7138671875
945,15769.697265625
946,15610.6162109375
947,15467.3447265625
948,15348.8388671875
949,15265.853515625
950,15221.0869140625
951,15201.1357421875
952,15178.23828125
953,15124.3701171875
954,15029.658203125
955,14911.39453125
956,14804.767578125
957,14740.267578125
958,14723.3408203125
959,14730.72265625
960,14725.080078125
961,14676.474609375
962,14575.953125
963,14434.57421875
964,14272.455078125
965,14107.3486328125
966,13949.37890625
967,13801.8896484375
968,13664.8974609375
969,13538.07421875
970,13422.4482421875
971,13320.853515625
972,13236.908203125
973,13172.6298828125
974,13126.2548828125
975,13092.447265625
976,13065.525390625
977,13043.24609375
978,13027.5
979,13020.51953125
980,13019.6435546875
981,13015.5791015625
982,12996.8544921875
983,12957.6005859375
984,12902.73046875
985,12846.01953125
986,12802.2998046875
987,12779.30078125
988,12774.9423828125
989,12781.4541015625
990,12792.8564453125
991,12810.115234375
992,12840.3134765625
993,12890.60546875
994,12961.48828125
995,13044.5537109375
996,13126.5205078125
997,13196.6318359375
998,13251.7216796875
999,13295.599609375
1000,13334.271484375
1001,13371.931640625
1002,13410.66015625
1003,13452.12109375
1004,13497.49609375
1005,13545.0849609375
1006,13589.490234375
1007,13625.6669921875
1008,13655.1962890625
1009,13687.275390625
1010,13730.7509765625
1011,13782.79296875
1012,13825.587890625
1013,13836.03125
1014,13801.298828125
1015,13726.6513671875
1016,13629.3681640625
1017,13525.884765625
1018,13425.0625
1019,13332.3984375
1020,13257.4365234375
1021,13213.0361328125
1022,13205.064453125
1023,13223.1318359375
1024,13244.5693359375
1025,13251.1865234375
1026,13245.037109375
1027,13247.685546875
1028,13281.671875
1029,13348.8935546875
1030,13424.9482421875
1031,13475.498046875
1032,13482.1337890625
1033,13456.986328125
1034,13434.1494140625
1035,13445.0849609375
1036,13496.6806640625
1037,13567.81640625
1038,13624.5146484375
1039,13641.6103515625
1040,13616.3330078125
1041,13567.7119140625
1042,13524.4267578125
